step,policy_arm_delta,command_arm_delta,observed_arm_delta,policy_gripper_delta,command_gripper_delta,observed_gripper_delta,command_arm_delta_change,command_gripper_delta_change,command_follow_error_arm,command_follow_error_gripper,target_period_sec,step_elapsed_sec,control_overrun
13,0.3307511508464813,0.015000000596046448,0.003475666046142578,0.0,0.0,0.0,0.0032885074615478516,0.0,0.011856228113174438,0.0,0.05,0.051887550999708765,True
14,0.3276073634624481,0.015000000596046448,0.0035369396209716797,0.0,0.0,0.0,0.003475666046142578,0.0,0.011463165283203125,0.0,0.05,0.05556108899963874,True
15,0.3240704834461212,0.015000000596046448,0.0032066255807876587,0.0,0.0,0.0,0.002598404884338379,0.0,0.01179349422454834,0.0,0.05,0.05149973600055091,True
16,0.32086384296417236,0.015000000596046448,0.0034058094024658203,0.0,0.0,0.0,0.0011844635009765625,0.0,0.011594414710998535,0.0,0.05,0.05562308299977303,True
17,0.3174581825733185,0.015000000596046448,0.0035102367401123047,0.0,0.0,0.0,0.000946044921875,0.0,0.011489827185869217,0.0,0.05,0.05634758299947862,True
18,0.31394800543785095,0.015000000596046448,0.0034139156341552734,0.0,0.0,0.0,0.0007392168045043945,0.0,0.011586189270019531,0.0,0.05,0.05443107300015981,True
19,0.31053414940834045,0.015000004321336746,0.0035132169723510742,0.0,0.0,0.0,0.0005797147750854492,0.0,0.01148688793182373,0.0,0.05,0.05584842900043441,True
20,0.30702099204063416,0.01499999687075615,0.003740668296813965,0.0,0.0,0.0,0.0004545450210571289,0.0,0.01125943660736084,0.0,0.05,0.059136578000106965,True
21,0.30328038334846497,0.01499999314546585,0.003424406051635742,0.0,0.0,0.0,0.0003788471221923828,0.0,0.011575698852539062,0.0,0.05,0.05583693900007347,True
22,0.2998560667037964,0.015000000596046448,0.003508448600769043,0.0,0.0,0.0,0.00027489662170410156,0.0,0.011491656303405762,0.0,0.05,0.055481315000179166,True
23,0.2963477075099945,0.015000000596046448,0.0038144588470458984,0.0,0.0,0.0,0.00021541118621826172,0.0,0.01118556410074234,0.0,0.05,0.060589319999962754,True
24,0.292533278465271,0.015000000596046448,0.0038590431213378906,0.0,0.0,0.0,0.00017964839935302734,0.0,0.011141061782836914,0.0,0.05,0.06361884400030249,True
25,0.2886742949485779,0.015000000596046448,0.0038767606019973755,0.0,0.0,0.0,0.00014638900756835938,0.0,0.011123299598693848,0.0,0.05,0.0635420120006529,True
26,0.2847975194454193,0.015000000596046448,0.0042569637298583984,0.0,0.0,0.0,0.00011098384857177734,0.0,0.010743111371994019,0.0,0.05,0.06783254200036026,True
27,0.2805406451225281,0.015000000596046448,0.0042046308517456055,0.0,0.0,0.0,8.869171142578125e-05,0.0,0.0107954740524292,0.0,0.05,0.06760708199999499,True
28,0.27633601427078247,0.015000000596046448,0.00395357608795166,0.0,0.0,0.0,6.592273712158203e-05,0.0,0.011046528816223145,0.0,0.05,0.06408310799997707,True
29,0.092315673828125,0.015000000596046448,0.00362386554479599,0.0019494295120239258,0.0019494295120239258,0.0019494295120239258,0.0040000006556510925,0.0019494295120239258,0.011376157402992249,0.0,0.05,0.05477195599996776,True
30,0.08264375478029251,0.015000000596046448,0.003629937767982483,0.017018377780914307,0.017018377780914307,0.017018377780914307,0.0040000006556510925,0.016711175441741943,0.01137010008096695,0.0,0.05,0.05572964499970112,True
31,0.1181882843375206,0.015000000596046448,0.00410810112953186,0.004242956638336182,0.004242956638336182,0.004242956638336182,0.0040000006556510925,0.012775421142578125,0.010891914367675781,0.0,0.05,0.06461933799982944,True
32,0.17995521426200867,0.015000000596046448,0.003746524453163147,0.005428671836853027,0.005428671836853027,0.005428671836853027,0.003999948501586914,0.009671628475189209,0.012004494667053223,0.0,0.05,0.05880874299964489,True
33,0.23167037963867188,0.015000008046627045,0.00479888916015625,0.016269207000732422,0.016269207000732422,0.016269207000732422,0.003999999724328518,0.010840535163879395,0.011481516063213348,0.0,0.05,0.05579388299975108,True
34,0.2642715573310852,0.01499999314546585,0.003929257392883301,0.0024588704109191895,0.0024588704109191895,0.0024588704109191895,0.003999999724328518,0.01872807741165161,0.0112227201461792,0.0,0.05,0.05918820399983815,True
