step,policy_arm_delta,command_arm_delta,observed_arm_delta,policy_gripper_delta,command_gripper_delta,observed_gripper_delta,command_arm_delta_change,command_gripper_delta_change,command_follow_error_arm,command_follow_error_gripper,target_period_sec,step_elapsed_sec,control_overrun
40,0.042459964752197266,0.014999985694885254,0.002935171127319336,0.0,0.0,0.0,0.001949918456375599,0.0,0.012064814567565918,0.0,0.04,0.0438853990053758,True
41,0.03952479362487793,0.014999985694885254,0.0023447275161743164,0.0,0.0,0.0,0.002267058938741684,0.0,0.012655258178710938,0.0,0.04,0.03954602393787354,False
42,0.03718006610870361,0.014999985694885254,0.0021038055419921875,0.0,0.0,0.0,0.0009833341464400291,0.0,0.012896180152893066,0.0,0.04,0.036190156009979546,False
43,0.035076260566711426,0.014999985694885254,0.0024716854095458984,0.0,0.0,0.0,0.0005789622664451599,0.0,0.012528300285339355,0.0,0.04,0.03603956999722868,False
44,0.03260457515716553,0.014999985694885254,0.0023932456970214844,0.0,0.0,0.0,0.0005212258547544479,0.0,0.01260673999786377,0.0,0.04,0.03606944007333368,False
45,0.030211329460144043,0.014999985694885254,0.002747774124145508,0.0,0.0,0.0,0.0004345513880252838,0.0,0.012252211570739746,0.0,0.04,0.04383410094305873,True
46,0.027463555335998535,0.014999985694885254,0.0023436546325683594,0.0,0.0,0.0,0.000430520623922348,0.0,0.012656331062316895,0.0,0.04,0.04034782398957759,True
47,0.025119900703430176,0.014999985694885254,0.0025762319564819336,0.0,0.0,0.0,0.000296199694275856,0.0,0.01242375373840332,0.0,0.04,0.04328674997668713,True
48,0.022543668746948242,0.014999985694885254,0.002638697624206543,0.0,0.0,0.0,0.0002716071903705597,0.0,0.012361288070678711,0.0,0.04,0.04309305304195732,True
49,0.0199049711227417,0.014999985694885254,0.0021098852157592773,0.0,0.0,0.0,0.00022441521286964417,0.0,0.012890100479125977,0.0,0.04,0.036298944032751024,False
50,0.017795085906982422,0.014999985694885254,0.002645134925842285,0.0,0.0,0.0,0.00015426985919475555,0.0,0.012354850769042969,0.0,0.04,0.04016291897278279,True
51,0.015149950981140137,0.014999985694885254,0.0024073123931884766,0.0,0.0,0.0,0.0001585986465215683,0.0,0.012592673301696777,0.0,0.04,0.03968391800299287,False
52,0.01274263858795166,0.01274263858795166,0.0027579069137573242,0.0,0.0,0.0,0.0022573471069335938,0.0,0.009984731674194336,0.0,0.04,0.04798101505730301,True
53,0.04887354373931885,0.008742690086364746,0.0030012130737304688,0.0053844451904296875,0.0053844451904296875,0.0053844451904296875,0.0040000006556510925,0.0053844451904296875,0.005741477012634277,0.0,0.04,0.05933864100370556,True
