step,policy_arm_delta,command_arm_delta,observed_arm_delta,policy_gripper_delta,command_gripper_delta,observed_gripper_delta,command_arm_delta_change,command_gripper_delta_change,command_follow_error_arm,command_follow_error_gripper,target_period_sec,step_elapsed_sec,control_overrun
35,0.6669703722000122,0.015000000596046448,0.004141569137573242,0.18098261952400208,0.02000001072883606,0.02000001072883606,0.003999948501586914,0.0,0.011096864938735962,0.0,0.04,0.0640746650001347,True
36,0.6630672216415405,0.015000008046627045,0.004300661385059357,0.16098260879516602,0.02000001072883606,0.02000001072883606,0.003245830535888672,0.0,0.011028103530406952,0.0,0.04,0.06439028400018287,True
37,0.10698914527893066,0.015000000596046448,0.003604412078857422,0.0620269775390625,0.02000001072883606,0.02000001072883606,0.0040000006556510925,0.04000002145767212,0.011709928512573242,0.0,0.04,0.051130288999956974,True
38,0.2628605365753174,0.015000000596046448,0.0076416730880737305,0.033983588218688965,0.02000001072883606,0.02000001072883606,0.0040000006556510925,0.02377694845199585,0.007673591375350952,0.0,0.04,0.11550808899983167,True
39,0.2887687683105469,0.015000000596046448,0.0028679370880126953,0.03487482666969299,0.02000001072883606,0.02000001072883606,0.0040000006556510925,0.04000002145767212,0.014618858695030212,0.0,0.04,0.0512560739998662,True
40,0.40863001346588135,0.015000000596046448,0.004622817039489746,0.11348980665206909,0.02000001072883606,0.02000001072883606,0.0040000006556510925,0.008111774921417236,0.010845065116882324,0.0,0.04,0.06368796800006749,True
41,0.5357774496078491,0.015000000596046448,0.004841804504394531,0.19969992339611053,0.02000001072883606,0.02000001072883606,0.0040000006556510925,0.017509877681732178,0.010545432567596436,0.0,0.04,0.0628841879997708,True
42,0.6305299997329712,0.015000000596046448,0.004076845943927765,0.26945939660072327,0.02000001072883606,0.02000001072883606,0.0040000006556510925,0.03219705820083618,0.01173698902130127,0.0,0.04,0.06364426200025264,True
43,0.6272621154785156,0.015000008046627045,0.004801511764526367,0.2494593858718872,0.02000001072883606,0.02000001072883606,0.0040000006556510925,0.018955707550048828,0.010703377425670624,0.0,0.04,0.06764938700007406,True
44,0.62273108959198,0.015000000596046448,0.004152655601501465,0.22945937514305115,0.02000001072883606,0.02000001072883606,0.0040000006556510925,0.0,0.010905414819717407,0.0,0.04,0.06386434999967605,True
45,0.6185787916183472,0.015000000596046448,0.00405728816986084,0.2094593644142151,0.02000001072883606,0.02000001072883606,0.0040000006556510925,0.0,0.011270761489868164,0.0,0.04,0.06372035599997616,True
46,0.09383675456047058,0.015000000596046448,0.003574371337890625,0.03980562090873718,0.02000001072883606,0.02000001072883606,0.003999993205070496,0.04000002145767212,0.011679723858833313,0.0,0.04,0.05170095899984517,True
47,0.2874458432197571,0.015000000596046448,0.003962039947509766,0.010804533958435059,0.010804533958435059,0.010804533958435059,0.0040000006556510925,0.03080451488494873,0.011627808213233948,0.0,0.04,0.05200989800005118,True
48,0.32402145862579346,0.015000000596046448,0.0034524202346801758,0.04534196853637695,0.02000001072883606,0.02000001072883606,0.0040000006556510925,0.022513270378112793,0.012327082455158234,0.0,0.04,0.05114184100011698,True
49,0.38049495220184326,0.015000000596046448,0.003744959831237793,0.11280839145183563,0.02000001072883606,0.02000001072883606,0.0040000006556510925,0.000322878360748291,0.012627452611923218,0.0,0.04,0.05931932000021334,True
50,0.48902952671051025,0.015000000596046448,0.00436834990978241,0.15541422367095947,0.019999995827674866,0.019999995827674866,0.0040000006556510925,0.01090317964553833,0.011830329895019531,0.0,0.04,0.051974299999983486,True
51,0.5492987632751465,0.015000000596046448,0.0045996904373168945,0.19867196679115295,0.019999995827674866,0.019999995827674866,0.0040000006556510925,0.019915401935577393,0.010748744010925293,0.0,0.04,0.06759549200023685,True
52,0.5450472831726074,0.015000000596046448,0.003672957420349121,0.1786719709634781,0.019999995827674866,0.019999995827674866,0.003999993205070496,0.010084152221679688,0.011777371168136597,0.0,0.04,0.059311884000180726,True
53,0.5413745045661926,0.015000000596046448,0.005125194787979126,0.15867197513580322,0.019999995827674866,0.019999995827674866,0.003999993205070496,0.0,0.011095881462097168,0.0,0.04,0.06391409599973485,True
54,0.5374702215194702,0.015000000596046448,0.004382967948913574,0.13867197930812836,0.019999995827674866,0.019999995827674866,0.0040000006556510925,0.0,0.010762199759483337,0.0,0.04,0.06781434499998795,True
55,0.5330873727798462,0.015000000596046448,0.004255414009094238,0.11867198348045349,0.019999995827674866,0.019999995827674866,0.003999993205070496,0.0,0.010951399803161621,0.0,0.04,0.06713208699966344,True
56,0.5289767980575562,0.015000000596046448,0.004201576113700867,0.09867198765277863,0.019999995827674866,0.019999995827674866,0.003999948501586914,0.0,0.011364936828613281,0.0,0.04,0.06358601400006592,True
57,0.10235560685396194,0.015000000596046448,0.004086017608642578,0.07397142052650452,0.019999995827674866,0.019999995827674866,0.0040000006556510925,0.03999999165534973,0.011360839009284973,0.0,0.04,0.055102311999689846,True
58,0.23103733360767365,0.015000000596046448,0.003364935517311096,0.03576844930648804,0.019999995827674866,0.019999995827674866,0.0040000006556510925,0.03742867708206177,0.011635184288024902,0.0,0.04,0.05173303299989129,True
59,0.27630868554115295,0.015000000596046448,0.0036488771438598633,0.021958589553833008,0.019999995827674866,0.019999995827674866,0.0040000006556510925,0.03999999165534973,0.01135118305683136,0.0,0.04,0.05479717200023515,True
60,0.2932487726211548,0.015000000596046448,0.0032518208026885986,0.07121526449918747,0.019999995827674866,0.019999995827674866,0.0040000006556510925,0.0005751848220825195,0.011748194694519043,0.0,0.04,0.051913794000029156,True
61,0.39306846261024475,0.015000000596046448,0.0034922808408737183,0.07057622075080872,0.019999995827674866,0.019999995827674866,0.0040000006556510925,0.010962247848510742,0.011507749557495117,0.0,0.04,0.05553576600004817,True
62,0.43062710762023926,0.015000000596046448,0.0038909912109375,0.09975044429302216,0.019999995827674866,0.019999995827674866,0.0040000006556510925,0.015294253826141357,0.011543631553649902,0.0,0.04,0.05559997899990776,True
63,0.42712581157684326,0.015000000596046448,0.004357576370239258,0.07975044846534729,0.019999995827674866,0.019999995827674866,0.0040000006556510925,0.006028652191162109,0.011099696159362793,0.0,0.04,0.06328974100006235,True
64,0.4232252836227417,0.015000000596046448,0.004327297210693359,0.059750448912382126,0.019999999552965164,0.019999999552965164,0.0040000006556510925,3.725290298461914e-09,0.011127278208732605,0.0,0.04,0.06369268900016323,True
65,0.41935256123542786,0.015000000596046448,0.0038722753524780273,0.03975044935941696,0.019999999552965164,0.019999999552965164,0.0040000006556510925,0.0,0.011258959770202637,0.0,0.04,0.06208211100010885,True
66,0.415480375289917,0.015000000596046448,0.004702329635620117,0.019750449806451797,0.019750449806451797,0.019750449806451797,0.0040000006556510925,0.0002495497465133667,0.010707378387451172,0.0,0.04,0.07178238599999531,True
67,0.4109915494918823,0.015000000596046448,0.0051271915435791016,0.0,0.0,0.0,0.0040000006556510925,0.019750449806451797,0.011089593172073364,0.0,0.04,0.06348623600024439,True
68,0.40708115696907043,0.015000015497207642,0.004540681838989258,0.0,0.0,0.0,0.003993716090917587,0.0,0.01070261001586914,0.0,0.04,0.06800933699969391,True
69,0.12756454944610596,0.015000000596046448,0.004237651824951172,0.09493911266326904,0.019999999552965164,0.019999999552965164,0.0040000006556510925,0.019999999552965164,0.01135563850402832,0.0,0.04,0.05480534899970735,True
70,0.18239903450012207,0.014999985694885254,0.003051385283470154,0.06101732701063156,0.019999999552965164,0.019999999552965164,0.0040000006556510925,0.03459334373474121,0.011948704719543457,0.0,0.04,0.047411054000349395,True
71,0.22316978871822357,0.015000000596046448,0.0032166242599487305,0.01561577245593071,0.01561577245593071,0.01561577245593071,0.0040000006556510925,0.006189107894897461,0.011783421039581299,0.0,0.04,0.0480447209997692,True
72,0.21206602454185486,0.014999985694885254,0.0035421550273895264,0.03891809284687042,0.020000003278255463,0.020000003278255463,0.0040000006556510925,0.03561577573418617,0.01145792007446289,0.0,0.04,0.05610791699973561,True
73,0.3014289438724518,0.014999985694885254,0.0032377243041992188,0.02011987566947937,0.019999999552965164,0.019999999552965164,0.0040000006556510925,0.0029799938201904297,0.011930227279663086,0.0,0.04,0.05098612600022534,True
74,0.31818345189094543,0.015000000596046448,0.004163980484008789,0.023615237325429916,0.019999999552965164,0.019999999552965164,0.0040000006556510925,0.005208730697631836,0.010875672101974487,0.0,0.04,0.06795504199999414,True
75,0.3140195310115814,0.015000000596046448,0.0045053064823150635,0.003615237772464752,0.003615237772464752,0.003615237772464752,0.0040000006556510925,0.016384761780500412,0.01092994213104248,0.0,0.04,0.06749456400029885,True
76,0.3099493384361267,0.015000000596046448,0.004195705056190491,0.0,0.0,0.0,0.003999948501586914,0.003615237772464752,0.011806130409240723,0.0,0.04,0.06395700300026874,True
77,0.3060719072818756,0.015000000596046448,0.004436135292053223,0.0,0.0,0.0,0.003999948501586914,0.0,0.010977879166603088,0.0,0.04,0.06321853100007502,True
78,0.3019165098667145,0.015000000596046448,0.0050160884857177734,0.0,0.0,0.0,0.003999948501586914,0.0,0.011187195777893066,0.0,0.04,0.06772303100024146,True
79,0.2976546883583069,0.015000000596046448,0.005244255065917969,0.0,0.0,0.0,0.001958489418029785,0.0,0.011472940444946289,0.0,0.04,0.06403434300000299,True
